Node_ID,District,Topic,Primary_Anchor,Secondary_Anchor,Target_URL,PBN_URL,Rel
1,Taksim,"VIP Escort & Luxury Companion Services","Beauty Istanbul Escorts","High Class Companion Istanbul",https://beautyistanbulesocrts.com/,https://inandemir.github.io/seo-pbn-network/#art-1,"noopener follow"
2,Beşiktaş,"Independent Model Directory & Agency Review","Istanbul VIP Escort","Taksim VIP Escort",https://beautyistanbulesocrts.com/,https://inandemir.github.io/seo-pbn-network/#art-2,"noopener follow"
3,Şişli,"Nightlife Guide & Private Escort Companion","Istanbul Escort Bayan","Kadıköy VIP Escort",https://beautyistanbulesocrts.com/,https://inandemir.github.io/seo-pbn-network/#art-3,"noopener follow"
4,Kadıköy,"Five-Star Hotel Accompaniment & Dinner Companion","High Class Companion Istanbul","Florya Escort Directory",https://beautyistanbulesocrts.com/,https://inandemir.github.io/seo-pbn-network/#art-4,"noopener follow"
5,Ataşehir,"Exclusive High-Class Escort Catalog","Elit Model Istanbul","Etiler VIP Escorts",https://beautyistanbulesocrts.com/,https://inandemir.github.io/seo-pbn-network/#art-5,"noopener follow"
6,Levent,"Elite Companion Escort & Private Meeting Guide","Independent Escorts Istanbul","Bakırköy Independent Escort",https://beautyistanbulesocrts.com/,https://inandemir.github.io/seo-pbn-network/#art-6,"noopener follow"
7,Florya,"VIP Escort & Luxury Companion Services","Taksim VIP Escort","Istanbul VIP Escort",https://beautyistanbulesocrts.com/,https://inandemir.github.io/seo-pbn-network/#art-7,"noopener follow"
8,Ataköy,"Independent Model Directory & Agency Review","Beşiktaş Luxury Companion","Elit Model Istanbul",https://beautyistanbulesocrts.com/,https://inandemir.github.io/seo-pbn-network/#art-8,"noopener follow"
9,Nişantaşı,"Nightlife Guide & Private Escort Companion","Şişli Independent Escorts","Beşiktaş Luxury Companion",https://beautyistanbulesocrts.com/,https://inandemir.github.io/seo-pbn-network/#art-9,"noopener follow"
10,Etiler,"Five-Star Hotel Accompaniment & Dinner Companion","Kadıköy VIP Escort","Ataşehir Escort Bayan",https://beautyistanbulesocrts.com/,https://inandemir.github.io/seo-pbn-network/#art-10,"noopener follow"
